CITY|SECTOR_ID|SECTOR_NAME|ENODEBID|ENODEB_NAME|EARFCN|PCI|PSS|SSS|TAC|VENDOR|LONGITUDE|LATITUDE|STYLE|AZIMUTH|HEIGHT|ELECTTILT|MECHTILT|TOTLETILT
sanxia|253913-1|B马裴村-HLHF-2|253913|B马裴村-HLHF|38400|476|||14419|华为|112.865|33.743|宏站|90.0|18.0|6.0|3.0|9.0
sanxia|253913-2|B马裴村-HLHF-3|253913|B马裴村-HLHF|38400|475|||14419|华为|112.865|33.743|宏站|230.0|18.0|6.0|3.0|9.0
sanxia|253914-0|B马棚户区-HLHF-1|253914|B马棚户区-HLHF|38400|219|||14419|华为|112.871|33.7573|宏站|30.0|33.0|6.0|3.0|9.0
sanxia|253914-1|B马棚户区-HLHF-2|253914|B马棚户区-HLHF|38400|221|||14419|华为|112.871|33.7573|宏站|150.0|33.0|6.0|3.0|9.0
sanxia|253914-2|B马棚户区-HLHF-3|253914|B马棚户区-HLHF|38400|220|||14419|华为|112.871|33.7573|宏站|280.0|33.0|6.0|3.0|9.0
sanxia|253915-0|B马汽车城-HLHF-1|253915|B马汽车城-HLHF|38400|23|||14467|华为|112.896|33.7362|宏站|340.0|27.0|6.0|3.0|9.0
sanxia|253915-1|B马汽车城-HLHF-2|253915|B马汽车城-HLHF|38400|22|||14467|华为|112.896|33.7362|宏站|110.0|27.0|6.0|3.0|9.0
sanxia|253915-2|B马汽车城-HLHF-3|253915|B马汽车城-HLHF|38400|21|||14467|华为|112.896|33.7362|宏站|240.0|27.0|6.0|3.0|9.0
sanxia|253916-0|B马汽车站-HLHF-1|253916|B马汽车站-HLHF|38400|15|||14419|华为|112.853|33.7454|宏站|20.0|22.0|6.0|3.0|9.0
sanxia|253916-1|B马汽车站-HLHF-2|253916|B马汽车站-HLHF|38400|17|||14419|华为|112.853|33.7454|宏站|90.0|22.0|6.0|3.0|9.0
sanxia|253916-2|B马汽车站-HLHF-3|253916|B马汽车站-HLHF|38400|16|||14419|华为|112.853|33.7454|宏站|270.0|22.0|6.0|2.0|8.0
sanxia|253917-0|B马汽修厂-HLHF-1|253917|B马汽修厂-HLHF|38400|424|||14419|华为|112.866|33.7382|宏站|70.0|33.0|6.0|3.0|9.0
sanxia|253917-1|B马汽修厂-HLHF-2|253917|B马汽修厂-HLHF|38400|425|||14419|华为|112.866|33.7382|宏站|210.0|33.0|6.0|3.0|9.0
sanxia|253917-2|B马汽修厂-HLHF-3|253917|B马汽修厂-HLHF|38400|423|||14419|华为|112.866|33.7382|宏站|330.0|33.0|6.0|3.0|9.0
